,lat,long,geo_address,street_code,borough,address,geometry
111705,40.82309255,-73.95122210216397,"Alexander Hamilton Playground, Manhattan Community Board 9, Manhattan, New York County, New York, United States",11705,Manhattan,ALEXANDER HAMILTON PLAYGROUND,POINT (-73.95122210216397 40.82309255)
111680,40.824163150000004,-73.94858966651292,"Johnny Hartman Plaza, Manhattan Community Board 9, Manhattan, New York County, New York, United States",11680,Manhattan,ALEXANDER HAMILTON SQUARE,POINT (-73.94858966651292 40.82416315)
112160,40.7106061,-73.99742966815457,"Alfred E. Smith Playground, Manhattan Community Board 3, Manhattan, New York County, New York, 10038, United States",12160,Manhattan,ALFRED E SMITH PARK,POINT (-73.99742966815457 40.7106061)
115615,40.8068364,-73.96401002881196,"Alfred Lerner Hall, 2920, Broadway, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States",15615,Manhattan,ALFRED LERNER HALL,POINT (-73.96401002881196 40.8068364)
100289,40.8064117,-73.9353423628134,"Alice Kornegay Triangle, East Harlem, Manhattan, New York County, New York, United States",00289,Manhattan,ALICE KORNEGAY TRIANGLE,POINT (-73.9353423628134 40.8064117)
125006,40.773503,-73.9825787,"Alice Tully Hall, Broadway, Manhattan Community Board 7, Manhattan, New York County, New York, 10023, United States",25006,Manhattan,ALICE TULLY HALL,POINT (-73.9825787 40.773503)
113685,40.7907287,-73.91833,"Allen Drive, Manhattan Community Board 11, Manhattan, New York County, New York, 10454, United States",13685,Manhattan,ALLEN DRIVE,POINT (-73.91833 40.7907287)
112525,40.81008105,-73.96333878923093,"Altschul Hall, Claremont Avenue, Manhattan Community Board 9, Manhattan, New York County, New York, 10027, United States",12525,Manhattan,ALTSCHUL HALL,POINT (-73.96333878923093 40.81008105)
100173,40.8703251,-73.91758805615727,"Amber Charter School Inwood, 532, West 215th Street, Manhattan Community Board 12, Manhattan, New York County, New York, 10034, United States",00173,Manhattan,AMBER CHARTER SCHOOL,POINT (-73.91758805615727 40.8703251)
130630,40.705297,-74.00242934457971,"Ambrose, Pier 16, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States",30630,Manhattan,AMBROSE,POINT (-74.00242934457971 40.705297)
113900,40.7455156,-73.9847757,"American Academy of Dramatic Arts, 120, Madison Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10016, United States",13900,Manhattan,AMERICAN ACADEMY ARTS & LETTERS,POINT (-73.9847757 40.7455156)
101167,40.74444045,-73.97173089984355,"American Copper Buildings, 626, Manhattan, New York County, New York, United States",01167,Manhattan,AMERICAN COPPER BUILDINGS,POINT (-73.97173089984355 40.74444045)
111710,40.8119433,-73.9573168,"Amsterdam Avenue, Manhattan Community Board 9, Manhattan, New York County, New York, 10115, United States",11710,Manhattan,AMSTERDAM AVENUE,POINT (-73.9573168 40.8119433)
111711,40.77316795,-73.98746392234445,"Amsterdam Houses, Manhattan, New York County, New York, United States",11711,Manhattan,AMSTERDAM HOUSES,POINT (-73.98746392234445 40.77316795)
100733,40.80461655,-73.96301775192308,"Amsterdam Nursing Home, 1064, Amsterdam Avenue, Manhattan Community Board 9, Manhattan, New York County, New York, 10025, United States",00733,Manhattan,AMSTERDAM NURSING HOME,POINT (-73.96301775192308 40.80461655)
100032,40.7237332,-73.9825263,"New Amsterdam School, 62, Avenue B, Alphabet City, East Village, Manhattan, New York County, New York, 10009, United States",00032,Manhattan,AMSTERDAM SCHOOL,POINT (-73.9825263 40.7237332)
111730,40.6924791,-74.0155208,"Andes Road, Nolan Park, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States",11730,Manhattan,ANDES ROAD,POINT (-74.0155208 40.6924791)
100155,40.75928305,-73.95784558537378,"Andrew Haswell Green Park, Manhattan Community Board 8, Manhattan, New York County, New York, United States",00155,Manhattan,ANDREW GREEN PARK,POINT (-73.95784558537378 40.75928305)
111750,40.7094946,-74.0052616,"Ann Street, Whitehall, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States",11750,Manhattan,ANN STREET,POINT (-74.0052616 40.7094946)
111635,40.865174100000004,-73.92848385458775,"Anne Loftus Playground, Riverside Drive, Manhattan Community Board 12, Manhattan, New York County, New York, 10034, United States",11635,Manhattan,ANNE LOFTUS PLAYGROUND,POINT (-73.92848385458775 40.8651741)
111535,40.8183333,-73.9522222,"Annunciation Park, Manhattan Community Board 9, Manhattan, New York County, New York, 10031, United States",11535,Manhattan,ANNUNCIATION PARK,POINT (-73.95222219999999 40.8183333)
112555,40.7614792,-73.98932219735252,"Ramone Aponte Park, Manhattan Community Board 4, Manhattan, New York County, New York, United States",12555,Manhattan,APONTE PARK,POINT (-73.98932219735252 40.7614792)
111810,40.8628358,-73.9277081,"Arden Street, Manhattan Community Board 12, Manhattan, New York County, New York, 10040, United States",11810,Manhattan,ARDEN STREET,POINT (-73.9277081 40.8628358)
111845,40.8206503,-73.94677130022035,"Arlington Edinboro Playground, Saint Nicholas Avenue, Manhattan Community Board 9, Manhattan, New York County, New York, 10040, United States",11845,Manhattan,ARLINGTON EDINBORO PLAYGROUND,POINT (-73.94677130022035 40.8206503)
100127,40.7590956,-73.9664369,"High School of Art and Design, 245, East 56th Street, Sutton, Manhattan Community Board 6, Manhattan, New York County, New York, 10155, United States",00127,Manhattan,ART AND DESIGN HS,POINT (-73.96643690000001 40.7590956)
114025,40.76983905,-73.9642912633345,"Asia Society, East 70th Street, Manhattan Community Board 8, Manhattan, New York County, New York, 10021, United States",14025,Manhattan,ASIA SOCIETY & MUSEUM,POINT (-73.9642912633345 40.76983905)
112815,40.7159868,-74.0149055,"Asphalt Green, 212, North End Avenue, Manhattan Community Board 1, Manhattan, New York County, New York, 10282, United States",12815,Manhattan,ASPHALT GREEN,POINT (-74.0149055 40.7159868)
111815,40.7371533,-73.9753006,"Asser Levy Place, Manhattan Community Board 6, Manhattan, New York County, New York, 10016, United States",11815,Manhattan,ASSER LEVY PLACE,POINT (-73.9753006 40.7371533)
112765,40.7363923,-73.97564185620493,"Asser Levy Playground, Manhattan Community Board 6, Manhattan, New York County, New York, United States",12765,Manhattan,ASSER LEVY PLAYGROUND,POINT (-73.97564185620493 40.7363923)
111820,40.7296198,-73.9900424,"Astor Place, Manhattan Community Board 3, Manhattan, New York County, New York, 10003, United States",11820,Manhattan,ASTOR PLACE,POINT (-73.99004239999999 40.7296198)
127310,40.7588495,-73.9582129,"BMT Astoria Line, North Loop Road, Roosevelt Island, Manhattan Community Board 8, Manhattan, New York County, New York, 10044, United States",27310,Manhattan,ASTORIA LINE,POINT (-73.95821290000001 40.7588495)
100751,40.8750943,-73.9103278,"Atmosphere Academy Public Charter Schools, 22, Marble Hill Avenue, Marble Hill, Manhattan, New York County, New York, 10463, United States",00751,Manhattan,ATMOSPHERE CHARTER SCHOOL,POINT (-73.9103278 40.8750943)
111910,40.7177333,-73.9847973,"Attorney Street, Manhattan Community Board 3, Manhattan, New York County, New York, 10002, United States",11910,Manhattan,ATTORNEY STREET,POINT (-73.9847973 40.7177333)
112010,40.8387993,-73.9395747,"Audubon Avenue, Manhattan Community Board 12, Manhattan, New York County, New York, 10040, United States",12010,Manhattan,AUDUBON AVENUE,POINT (-73.93957469999999 40.8387993)
112395,40.8416219,-73.93801478343445,"Audubon Playground, Manhattan Community Board 12, Manhattan, New York County, New York, United States",12395,Manhattan,AUDUBON PLAYGROUND,POINT (-73.93801478343445 40.8416219)
112325,40.735544149999996,-73.98220729156651,"Augustus Saint-Gaudens Playground, Manhattan Community Board 6, Manhattan, New York County, New York, United States",12325,Manhattan,AUGUSTUS ST GAUDENS PLAYGROUND,POINT (-73.98220729156651 40.73554415)
112210,40.722671,-73.982964,"Avenue B, Alphabet City, East Village, Manhattan, New York County, New York, 10009, United States",12210,Manhattan,AVENUE B,POINT (-73.982964 40.722671)
112310,40.7325972,-73.9744097,"Avenue C, Manhattan Community Board 6, Manhattan, New York County, New York, 10010, United States",12310,Manhattan,AVENUE C,POINT (-73.9744097 40.7325972)
131700,40.7309534,-73.9758575,"Avenue C Loop, Manhattan Community Board 6, Manhattan, New York County, New York, 10009, United States",31700,Manhattan,AVENUE C LOOP,POINT (-73.9758575 40.7309534)
112410,40.7212262,-73.9778251,"Avenue D, East Village, Manhattan, New York County, New York, 10009, United States",12410,Manhattan,AVENUE D,POINT (-73.9778251 40.7212262)
112420,40.7109987,-74.002016,"Avenue of the Finest, Lower Manhattan, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States",12420,Manhattan,AVENUE OF FINEST,POINT (-74.002016 40.7109987)
111185,40.8692351,-73.9221994,"West 207th Street, Manhattan Community Board 12, Manhattan, New York County, New York, 10034, United States",11185,Manhattan,B O SHEA WAY,POINT (-73.9221994 40.8692351)
113450,40.7865447,-73.9235117,"B Road, Manhattan Community Board 11, Manhattan, New York County, New York, 11102, United States",13450,Manhattan,B ROAD,POINT (-73.92351170000001 40.7865447)
112560,40.7845305,-73.9413462,"Bobby Wagner Walk, Manhattan Community Board 11, Manhattan, New York County, New York, 10029, United States",12560,Manhattan,B WAGNER WALK,POINT (-73.9413462 40.7845305)
112505,40.710154349999996,-74.00323001164281,"NYC Housing Preservation and Development (HPD), 100, Gold Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10038, United States",12505,Manhattan,BACHE PLAZA,POINT (-74.00323001164281 40.71015435)
112503,40.8730025,-73.91591477742784,"Baker Athletics Complex, Manhattan Community Board 12, Manhattan, New York County, New York, United States",12503,Manhattan,BAKER ATHLETICS COMPLEX,POINT (-73.91591477742784 40.8730025)
112755,40.7565227,-73.9649651,"Recreation Center 54, 348, East 54th Street, Sutton, Manhattan Community Board 6, Manhattan, New York County, New York, 10022, United States",12755,Manhattan,BAKER MOTLEY RECREATION CENTER,POINT (-73.9649651 40.7565227)
100908,40.76747015,-73.9856746178175,"Balsley Park, Manhattan Community Board 4, Manhattan, New York County, New York, United States",00908,Manhattan,BALSLEY PARK,POINT (-73.98567461781749 40.76747015)
112510,40.7368471,-74.0036524,"Bank Street, Manhattan Community Board 2, Manhattan, New York County, New York, 10014, United States",12510,Manhattan,BANK STREET,POINT (-74.00365239999999 40.7368471)
112520,40.7127865,-74.0097957,"Barclay Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10007, United States",12520,Manhattan,BARCLAY STREET,POINT (-74.0097957 40.7127865)
112610,40.7319895,-74.0100853,"Barrow Street, West Village, Manhattan, New York County, New York, 10014, United States",12610,Manhattan,BARROW STREET,POINT (-74.0100853 40.7319895)
112630,40.6892877,-74.013159,"Barry Road, Nolan Park, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States",12630,Manhattan,BARRY ROAD,POINT (-74.013159 40.6892877)
112655,40.74019335,-73.98332973364073,"Baruch College Newman Vertical Campus, 55, Lexington Avenue, Manhattan Community Board 6, Manhattan, New York County, New York, 10010, United States",12655,Manhattan,BARUCH COLLEGE,POINT (-73.98332973364073 40.74019335)
112650,40.7156098,-73.9781244,"Baruch Drive, Lower East Side, Manhattan, New York County, New York, 10002, United States",12650,Manhattan,BARUCH DRIVE,POINT (-73.9781244 40.7156098)
112652,40.7170501,-73.97794324033336,"Baruch Houses, Manhattan, New York County, New York, United States",12652,Manhattan,BARUCH HOUSES,POINT (-73.97794324033336 40.7170501)
112620,40.7182243,-73.9768238,"Baruch Place, Lower East Side, Manhattan, New York County, New York, 10002, United States",12620,Manhattan,BARUCH PLACE,POINT (-73.97682380000001 40.7182243)
112680,40.700987850000004,-74.01165071158765,"Battery Maritime Building, 10, South Street, Whitehall, Financial District, Manhattan, New York County, New York, 10004, United States",12680,Manhattan,BATTERY MARITIME BUILDING,POINT (-74.01165071158765 40.70098785)
145607,40.702786,-74.01577307510607,"Battery Park, Financial District, Manhattan, New York County, New York, 10004, United States",45607,Manhattan,BATTERY PARK,POINT (-74.01577307510607 40.702786)
100936,40.71496465,-74.01781464917667,"Battery Park City Ferry Terminal, Battery Park City Greenway, Manhattan Community Board 1, Manhattan, New York County, New York, 10285, United States",00936,Manhattan,BATTERY PARK CITY FERRY TERMINAL,POINT (-74.01781464917667 40.71496465)
